contrast,task,estimate,SE,df,z.ratio,p.value
(deepseek-reasoner) - (gemini-2.5-flash),1,-13.809999999999997,1.2355931975953407,Inf,-11.176817764031426,3.600935156916979e-27
(deepseek-reasoner) - (gemini-2.5-pro),1,-18.890000000000008,1.2355931975953407,Inf,-15.288203299243577,7.60642893894817e-51
(deepseek-reasoner) - (gpt-3.5-turbo),1,7.789999999999992,1.235593197595341,Inf,6.304664039232783,1.3285705635280184e-8
(deepseek-reasoner) - (gpt-4o),1,3.2699999999999942,1.2355931975953405,Inf,2.6465021063274956,0.17079089726047544
(deepseek-reasoner) - (gpt-4o-mini),1,4.570000000000002,1.2355931975953407,Inf,3.6986283259684036,0.0060694969675837256
(deepseek-reasoner) - o1,1,-0.4700000000000095,1.2355931975953405,Inf,-0.380384094793257,1
(deepseek-reasoner) - o3,1,-71.42999999999998,1.2355931975953407,Inf,-57.81028912996124,0
(deepseek-reasoner) - (o4-mini),1,-8.13,1.2355931975953407,Inf,-6.57983551206195,2.26065121051551e-9
(gemini-1.5-pro) - (gemini-2.0-flash),1,-3.069999999999977,1.2355931975953405,Inf,-2.4846365340750354,0.24639915774076177
(gemini-1.5-pro) - (gemini-2.5-flash),1,-14.339999999999984,1.2355931975953407,Inf,-11.6057615305004,2.735222983075967e-29
(gemini-1.5-pro) - (gemini-2.5-pro),1,-19.419999999999995,1.2355931975953405,Inf,-15.717147065712552,9.693972488141728e-54
(gemini-1.5-pro) - (gpt-3.5-turbo),1,7.260000000000005,1.235593197595341,Inf,5.87572027276381,1.810337539803338e-7
(gemini-1.5-pro) - (gpt-4o),1,2.7400000000000073,1.2355931975953405,Inf,2.217558339858523,0.43349767180400633
(gemini-1.5-pro) - (gpt-4o-mini),1,4.040000000000015,1.2355931975953405,Inf,3.269684559499432,0.026916868779773243
(gemini-1.5-pro) - o1,1,-0.9999999999999964,1.2355931975953405,Inf,-0.8093278612622297,1
(gemini-1.5-pro) - o3,1,-71.95999999999997,1.2355931975953407,Inf,-58.23923289643022,0
(gemini-1.5-pro) - (o4-mini),1,-8.659999999999988,1.2355931975953407,Inf,-7.008779278530922,1.202031787814901e-10
(gemini-2.0-flash) - (gemini-2.5-flash),1,-11.270000000000007,1.2355931975953405,Inf,-9.121124996425365,4.4609092327143416e-18
(gemini-2.0-flash) - (gemini-2.5-pro),1,-16.350000000000016,1.2355931975953405,Inf,-13.232510531637514,4.3284071205441836e-38
(gemini-2.0-flash) - (gpt-3.5-turbo),1,10.329999999999982,1.2355931975953407,Inf,8.360356806838846,3.5016156791862772e-15
(gemini-2.0-flash) - (gpt-4o),1,5.8099999999999845,1.2355931975953403,Inf,4.70219487393356,9.780427594055235e-5
(gemini-2.0-flash) - (gpt-4o-mini),1,7.109999999999992,1.2355931975953405,Inf,5.754321093574467,3.6536083579464443e-7
(gemini-2.0-flash) - o1,1,2.0699999999999807,1.2355931975953405,Inf,1.6753086728128057,0.9387368468789796
(gemini-2.0-flash) - o3,1,-68.88999999999999,1.2355931975953405,Inf,-55.75459636235519,0
(gemini-2.0-flash) - (o4-mini),1,-5.5900000000000105,1.2355931975953405,Inf,-4.524142744455888,2.1224276043980462e-4
(gemini-2.5-flash) - (gemini-2.5-pro),1,-5.080000000000009,1.2355931975953407,Inf,-4.111385535212148,0.0012192047130082915
(gemini-2.5-flash) - (gpt-3.5-turbo),1,21.599999999999987,1.235593197595341,Inf,17.481481803264206,1.7051976759557641e-66
(gemini-2.5-flash) - (gpt-4o),1,17.07999999999999,1.2355931975953405,Inf,13.823319870358924,1.456499056902017e-41
(gemini-2.5-flash) - (gpt-4o-mini),1,18.38,1.2355931975953407,Inf,14.87544608999983,3.854005156984603e-48
(gemini-2.5-flash) - o1,1,13.339999999999987,1.2355931975953407,Inf,10.79643366923817,2.361701813221239e-25
(gemini-2.5-flash) - o3,1,-57.61999999999999,1.235593197595341,Inf,-46.633471365929815,0
(gemini-2.5-flash) - (o4-mini),1,5.679999999999996,1.2355931975953407,Inf,4.596982251969477,1.5860202328251717e-4
(gemini-2.5-pro) - (gpt-3.5-turbo),1,26.68,1.235593197595341,Inf,21.592867338476356,1.865414039424809e-101
(gemini-2.5-pro) - (gpt-4o),1,22.16,1.2355931975953403,Inf,17.934705405571076,5.498203844473619e-70
(gemini-2.5-pro) - (gpt-4o-mini),1,23.460000000000008,1.2355931975953405,Inf,18.98683162521198,1.9286003227791753e-78
(gemini-2.5-pro) - o1,1,18.419999999999995,1.2355931975953405,Inf,14.90781920445032,2.404013751225507e-48
(gemini-2.5-pro) - o3,1,-52.53999999999998,1.2355931975953407,Inf,-42.52208583071767,0
(gemini-2.5-pro) - (o4-mini),1,10.760000000000005,1.2355931975953405,Inf,8.708367787181626,1.7572053335938936e-16
(gpt-3.5-turbo) - (gpt-4o),1,-4.519999999999998,1.2355931975953407,Inf,-3.658161932905289,0.006858824445436159
(gpt-3.5-turbo) - (gpt-4o-mini),1,-3.21999999999999,1.235593197595341,Inf,-2.60603571326438,0.18319382116965513
(gpt-3.5-turbo) - o1,1,-8.260000000000002,1.235593197595341,Inf,-6.685048134026039,1.1311588984809443e-9
(gpt-3.5-turbo) - o3,1,-79.21999999999997,1.235593197595341,Inf,-64.11495316919401,0
(gpt-3.5-turbo) - (o4-mini),1,-15.919999999999993,1.235593197595341,Inf,-12.884499551294732,4.072317089210613e-36
(gpt-4o) - (gpt-4o-mini),1,1.3000000000000078,1.2355931975953405,Inf,1.0521262196409087,1
(gpt-4o) - o1,1,-3.7400000000000038,1.2355931975953405,Inf,-3.0268862011207527,0.059300870452604064
(gpt-4o) - o3,1,-74.69999999999997,1.2355931975953405,Inf,-60.45679123628875,0
(gpt-4o) - (o4-mini),1,-11.399999999999995,1.2355931975953405,Inf,-9.226337618389447,1.708264976943549e-18
(gpt-4o-mini) - o1,1,-5.040000000000012,1.2355931975953405,Inf,-4.079012420761662,0.0013568226225199027
(gpt-4o-mini) - o3,1,-75.99999999999999,1.2355931975953407,Inf,-61.50891745592965,0
(gpt-4o-mini) - (o4-mini),1,-12.700000000000003,1.2355931975953407,Inf,-10.278463838030353,5.639736246719921e-23
o1 - o3,1,-70.95999999999998,1.2355931975953407,Inf,-57.429905035168,0
o1 - (o4-mini),1,-7.659999999999991,1.2355931975953407,Inf,-6.199451417268693,2.5497136610298704e-8
o3 - (o4-mini),1,63.29999999999998,1.235593197595341,Inf,51.230453617899286,0
(claude-3-5-haiku-20241022) - (claude-3-7-sonnet-20250219),2,-18.849999999999998,1.2355931975953414,Inf,-15.255830184793071,1.174428495839063e-50
(claude-3-5-haiku-20241022) - (claude-sonnet-4-20250514),2,-19.48,1.2355931975953411,Inf,-15.765706737388282,4.232007244057275e-54
(claude-3-5-haiku-20241022) - (deepseek-chat),2,-16.690000000000005,1.2355931975953414,Inf,-13.507682004466655,1.0284820728229234e-39
(claude-3-5-haiku-20241022) - (deepseek-reasoner),2,-13.18,1.235593197595341,Inf,-10.666941211436221,9.155918918295125e-25
(claude-3-5-haiku-20241022) - (gemini-1.5-pro),2,-10.730000000000006,1.235593197595342,Inf,-8.684087951343749,2.13804250328886e-16
(claude-3-5-haiku-20241022) - (gemini-2.0-flash),2,-15.870000000000001,1.235593197595341,Inf,-12.844033158231627,6.410470995509252e-36
(claude-3-5-haiku-20241022) - (gemini-2.5-flash),2,-24.62000000000001,1.2355931975953418,Inf,-19.925651944276154,2.097110132408798e-86
(claude-3-5-haiku-20241022) - (gemini-2.5-pro),2,-37.21000000000001,1.2355931975953418,Inf,-30.115089717567646,2.7979615881264787e-197
(claude-3-5-haiku-20241022) - (gpt-3.5-turbo),2,-2.910000000000004,1.2355931975953414,Inf,-2.355144076273098,0.277732877916265
(claude-3-5-haiku-20241022) - (gpt-4o),2,-10.420000000000012,1.2355931975953414,Inf,-8.433196314352466,1.8162887368578092e-15
(claude-3-5-haiku-20241022) - (gpt-4o-mini),2,-7.640000000000008,1.2355931975953416,Inf,-6.183264860043457,2.5115693489876412e-8
(claude-3-5-haiku-20241022) - o1,2,-15.28000000000001,1.2355931975953411,Inf,-12.366529720086914,2.6968026244327294e-33
(claude-3-5-haiku-20241022) - o3,2,-96.69999999999997,1.2355931975953411,Inf,-78.26200418405783,0
(claude-3-5-haiku-20241022) - (o4-mini),2,-21.030000000000005,1.2355931975953414,Inf,-17.02016492234474,4.714722870125841e-63
(claude-3-7-sonnet-20250219) - (claude-sonnet-4-20250514),2,-0.6300000000000021,1.2355931975953398,Inf,-0.5098765525952085,1
(claude-3-7-sonnet-20250219) - (deepseek-chat),2,2.159999999999993,1.2355931975953405,Inf,1.7481481803264167,0.6990807489695037
(claude-3-7-sonnet-20250219) - (deepseek-reasoner),2,5.669999999999998,1.23559319759534,Inf,4.588888973356859,1.4259562999696765e-4
(claude-3-7-sonnet-20250219) - (gemini-1.5-pro),2,8.119999999999994,1.2355931975953407,Inf,6.5717422334493225,2.1881156272809976e-9
(claude-3-7-sonnet-20250219) - (gemini-2.0-flash),2,2.9799999999999973,1.23559319759534,Inf,2.4117970265614517,0.2539858553170422
(claude-3-7-sonnet-20250219) - (gemini-2.5-flash),2,-5.77000000000001,1.2355931975953405,Inf,-4.66982175948309,1.0249680228749955e-4
(claude-3-7-sonnet-20250219) - (gemini-2.5-pro),2,-18.360000000000007,1.2355931975953407,Inf,-14.859259532774592,4.665521083326417e-48
(claude-3-7-sonnet-20250219) - (gpt-3.5-turbo),2,15.939999999999996,1.2355931975953405,Inf,12.900686108519983,3.122752368586682e-36
(claude-3-7-sonnet-20250219) - (gpt-4o),2,8.429999999999989,1.235593197595341,Inf,6.822633870440609,4.1117682125238306e-10
(claude-3-7-sonnet-20250219) - (gpt-4o-mini),2,11.209999999999992,1.2355931975953411,Inf,9.072565324749615,6.626093230110064e-18
(claude-3-7-sonnet-20250219) - o1,2,3.5699999999999883,1.2355931975953405,Inf,2.8893004647061606,0.0733589917877077
(claude-3-7-sonnet-20250219) - o3,2,-77.84999999999998,1.2355931975953405,Inf,-63.00617399926479,0
(claude-3-7-sonnet-20250219) - (o4-mini),2,-2.180000000000007,1.2355931975953405,Inf,-1.7643347375516725,0.6990807489695037
(claude-sonnet-4-20250514) - (deepseek-chat),2,2.7899999999999956,1.2355931975953405,Inf,2.2580247329216254,0.33521764508649005
(claude-sonnet-4-20250514) - (deepseek-reasoner),2,6.3,1.2355931975953396,Inf,5.098765525952069,1.2649401513841667e-5
(claude-sonnet-4-20250514) - (gemini-1.5-pro),2,8.749999999999995,1.2355931975953403,Inf,7.081618786044531,6.839047718731922e-11
(claude-sonnet-4-20250514) - (gemini-2.0-flash),2,3.6099999999999994,1.23559319759534,Inf,2.92167357915666,0.07311280484948457
(claude-sonnet-4-20250514) - (gemini-2.5-flash),2,-5.1400000000000095,1.2355931975953405,Inf,-4.159945206887883,8.913070655308836e-4
(claude-sonnet-4-20250514) - (gemini-2.5-pro),2,-17.730000000000004,1.235593197595341,Inf,-14.349382980179382,8.061696624715375e-45
(claude-sonnet-4-20250514) - (gpt-3.5-turbo),2,16.569999999999997,1.2355931975953405,Inf,13.41056266111519,3.775640926217624e-39
(claude-sonnet-4-20250514) - (gpt-4o),2,9.059999999999988,1.235593197595341,Inf,7.3325104230358145,1.1294044859632886e-11
(claude-sonnet-4-20250514) - (gpt-4o-mini),2,11.839999999999993,1.2355931975953405,Inf,9.582441877344827,5.591852032054072e-20
(claude-sonnet-4-20250514) - o1,2,4.19999999999999,1.2355931975953403,Inf,3.3991770173013696,0.014869570352276571
(claude-sonnet-4-20250514) - o3,2,-77.21999999999997,1.23559319759534,Inf,-62.496297446669594,0
(claude-sonnet-4-20250514) - (o4-mini),2,-1.5500000000000047,1.23559319759534,Inf,-1.2544581849564647,1
(deepseek-chat) - (deepseek-reasoner),2,3.510000000000005,1.23559319759534,Inf,2.8407407930304416,0.08101598303401998
(deepseek-chat) - (gemini-1.5-pro),2,5.96,1.2355931975953411,Inf,4.823594053122903,4.934798212134975e-5
(deepseek-chat) - (gemini-2.0-flash),2,0.8200000000000041,1.2355931975953405,Inf,0.663648846235034,1
(deepseek-chat) - (gemini-2.5-flash),2,-7.930000000000005,1.2355931975953414,Inf,-6.417969939809503,5.938451191198815e-9
(deepseek-chat) - (gemini-2.5-pro),2,-20.520000000000003,1.2355931975953414,Inf,-16.607407713101,4.9278515316261176e-60
(deepseek-chat) - (gpt-3.5-turbo),2,13.780000000000001,1.2355931975953405,Inf,11.152537928193565,4.5235216598612114e-27
(deepseek-chat) - (gpt-4o),2,6.269999999999994,1.2355931975953411,Inf,5.074485690114191,1.3987636878702748e-5
(deepseek-chat) - (gpt-4o-mini),2,9.049999999999999,1.2355931975953414,Inf,7.324417144423198,1.1757023306690509e-11
(deepseek-chat) - o1,2,1.4099999999999953,1.2355931975953403,Inf,1.1411522843797444,1
(deepseek-chat) - o3,2,-80.00999999999996,1.235593197595341,Inf,-64.75432217959117,0
(deepseek-chat) - (o4-mini),2,-4.34,1.2355931975953407,Inf,-3.5124829178780885,0.01021063245129515
(deepseek-reasoner) - (gemini-1.5-pro),2,2.449999999999995,1.2355931975953405,Inf,1.9828532600924655,0.4738382281636502
(deepseek-reasoner) - (gemini-2.0-flash),2,-2.690000000000001,1.2355931975953396,Inf,-2.1770919467954077,0.33521764508649005
(deepseek-reasoner) - (gemini-2.5-flash),2,-11.44000000000001,1.2355931975953405,Inf,-9.25871073283995,1.2001097677367616e-18
(deepseek-reasoner) - (gemini-2.5-pro),2,-24.03000000000001,1.2355931975953405,Inf,-19.448148506131453,2.5682349142045444e-82
(deepseek-reasoner) - (gpt-3.5-turbo),2,10.269999999999996,1.23559319759534,Inf,8.311797135163127,4.901700588833842e-15
(deepseek-reasoner) - (gpt-4o),2,2.759999999999989,1.2355931975953405,Inf,2.2337448970837532,0.33521764508649005
(deepseek-reasoner) - (gpt-4o-mini),2,5.539999999999994,1.2355931975953403,Inf,4.483676351392764,2.2744053551664576e-4
(deepseek-reasoner) - o1,2,-2.10000000000001,1.23559319759534,Inf,-1.699588508650697,0.6990807489695037
(deepseek-reasoner) - o3,2,-83.51999999999997,1.2355931975953403,Inf,-67.59506297262165,0
(deepseek-reasoner) - (o4-mini),2,-7.850000000000006,1.2355931975953403,Inf,-6.353223710908531,8.855646534255481e-9
(gemini-1.5-pro) - (gemini-2.0-flash),2,-5.139999999999995,1.2355931975953407,Inf,-4.159945206887871,8.913070655308836e-4
(gemini-1.5-pro) - (gemini-2.5-flash),2,-13.890000000000002,1.2355931975953414,Inf,-11.241563992932404,1.6818595786493674e-27
(gemini-1.5-pro) - (gemini-2.5-pro),2,-26.480000000000004,1.2355931975953414,Inf,-21.431001766223904,5.975714075889985e-100
(gemini-1.5-pro) - (gpt-3.5-turbo),2,7.820000000000002,1.235593197595341,Inf,6.3289438750706575,1.012063958604043e-8
(gemini-1.5-pro) - (gpt-4o),2,0.3099999999999943,1.2355931975953414,Inf,0.2508916369912873,1
(gemini-1.5-pro) - (gpt-4o-mini),2,3.0899999999999985,1.2355931975953414,Inf,2.500823091300296,0.21063859415983266
(gemini-1.5-pro) - o1,2,-4.550000000000004,1.235593197595341,Inf,-3.68244176874316,0.0055442554983815995
(gemini-1.5-pro) - o3,2,-85.96999999999997,1.2355931975953407,Inf,-69.5779162327141,0
(gemini-1.5-pro) - (o4-mini),2,-10.299999999999999,1.2355931975953414,Inf,-8.336076971000988,4.0701847622107986e-15
(gemini-2.0-flash) - (gemini-2.5-flash),2,-8.750000000000009,1.2355931975953407,Inf,-7.08161878604454,6.839047718731922e-11
(gemini-2.0-flash) - (gemini-2.5-pro),2,-21.340000000000003,1.2355931975953405,Inf,-17.271056559336046,6.37194478348208e-65
(gemini-2.0-flash) - (gpt-3.5-turbo),2,12.959999999999997,1.23559319759534,Inf,10.488889081958535,6.0241716519915996e-24
(gemini-2.0-flash) - (gpt-4o),2,5.4499999999999895,1.2355931975953405,Inf,4.410836843879159,3.089156587465157e-4
(gemini-2.0-flash) - (gpt-4o-mini),2,8.229999999999993,1.23559319759534,Inf,6.660768298188171,1.2257990968787214e-9
(gemini-2.0-flash) - o1,2,0.589999999999991,1.23559319759534,Inf,0.4775034381447101,1
(gemini-2.0-flash) - o3,2,-80.82999999999997,1.23559319759534,Inf,-65.41797102582626,0
(gemini-2.0-flash) - (o4-mini),2,-5.160000000000005,1.2355931975953405,Inf,-4.176131764113124,8.598735168580413e-4
(gemini-2.5-flash) - (gemini-2.5-pro),2,-12.589999999999996,1.2355931975953414,Inf,-10.189437773291498,1.3483367451490228e-22
(gemini-2.5-flash) - (gpt-3.5-turbo),2,21.71,1.2355931975953407,Inf,17.570507868003066,3.4398985408745764e-67
(gemini-2.5-flash) - (gpt-4o),2,14.2,1.2355931975953414,Inf,11.492455629923693,9.64535871492512e-29
(gemini-2.5-flash) - (gpt-4o-mini),2,16.980000000000004,1.2355931975953411,Inf,13.742387084232705,4.1868529902919055e-41
(gemini-2.5-flash) - o1,2,9.34,1.235593197595341,Inf,7.559122224189249,2.0695721293047893e-12
(gemini-2.5-flash) - o3,2,-72.07999999999997,1.2355931975953407,Inf,-58.33635223978169,0
(gemini-2.5-flash) - (o4-mini),2,3.5900000000000043,1.2355931975953414,Inf,2.905487021931416,0.07333641103018781
(gemini-2.5-pro) - (gpt-3.5-turbo),2,34.300000000000004,1.235593197595341,Inf,27.75994564129457,1.1895203801468235e-167
(gemini-2.5-pro) - (gpt-4o),2,26.789999999999992,1.235593197595341,Inf,21.681893403215195,2.6761539618562757e-102
(gemini-2.5-pro) - (gpt-4o-mini),2,29.57,1.235593197595341,Inf,23.93182485752421,1.2716667296207468e-124
(gemini-2.5-pro) - o1,2,21.929999999999996,1.2355931975953405,Inf,17.748559997480758,1.4853741763324497e-68
(gemini-2.5-pro) - o3,2,-59.489999999999974,1.2355931975953407,Inf,-48.14691446649019,0
(gemini-2.5-pro) - (o4-mini),2,16.18,1.2355931975953411,Inf,13.094924795222916,2.499362057194902e-37
(gpt-3.5-turbo) - (gpt-4o),2,-7.510000000000008,1.235593197595341,Inf,-6.078052238079371,4.62274289623254e-8
(gpt-3.5-turbo) - (gpt-4o-mini),2,-4.730000000000004,1.2355931975953407,Inf,-3.8281207837703626,0.0032281347387215537
(gpt-3.5-turbo) - o1,2,-12.370000000000006,1.2355931975953405,Inf,-10.011385643813822,8.15018919188927e-22
(gpt-3.5-turbo) - o3,2,-93.78999999999996,1.2355931975953405,Inf,-75.90686010778477,0
(gpt-3.5-turbo) - (o4-mini),2,-18.12,1.2355931975953405,Inf,-14.665020846071654,8.206783547145953e-47
(gpt-4o) - (gpt-4o-mini),2,2.7800000000000042,1.2355931975953411,Inf,2.2499314543090088,0.33521764508649005
(gpt-4o) - o1,2,-4.859999999999999,1.2355931975953405,Inf,-3.93333340573445,0.0021781736219119805
(gpt-4o) - o3,2,-86.27999999999996,1.2355931975953405,Inf,-69.82880786970539,0
(gpt-4o) - (o4-mini),2,-10.609999999999992,1.235593197595341,Inf,-8.586968607992278,4.911171087980788e-16
(gpt-4o-mini) - o1,2,-7.640000000000002,1.2355931975953405,Inf,-6.183264860043459,2.5115693489876412e-8
(gpt-4o-mini) - o3,2,-89.05999999999997,1.2355931975953407,Inf,-72.07873932401439,0
(gpt-4o-mini) - (o4-mini),2,-13.389999999999997,1.235593197595341,Inf,-10.836900062301288,1.4728798612633752e-25
o1 - o3,2,-81.41999999999997,1.2355931975953405,Inf,-65.89547446397096,0
o1 - (o4-mini),2,-5.749999999999996,1.2355931975953405,Inf,-4.653635202257833,1.0762408324085437e-4
o3 - (o4-mini),2,75.66999999999997,1.235593197595341,Inf,61.241839261713096,0
(claude-3-5-haiku-20241022) - (claude-3-7-sonnet-20250219),3,-16.510000000000048,1.2355931975953411,Inf,-13.36200298943949,8.266778957637802e-39
(claude-3-5-haiku-20241022) - (claude-sonnet-4-20250514),3,-14.760000000000048,1.2355931975953414,Inf,-11.945679232230582,5.19758996555366e-31
(claude-3-5-haiku-20241022) - (deepseek-chat),3,-21.42000000000005,1.2355931975953407,Inf,-17.33580278823706,2.247397317462827e-65
(claude-3-5-haiku-20241022) - (deepseek-reasoner),3,-10.590000000000048,1.2355931975953416,Inf,-8.570782050767074,6.269861414395796e-16
(claude-3-5-haiku-20241022) - (gemini-1.5-pro),3,-10.280000000000054,1.2355931975953416,Inf,-8.319890413775788,5.106591331462901e-15
(claude-3-5-haiku-20241022) - (gemini-2.0-flash),3,-12.960000000000049,1.235593197595341,Inf,-10.48888908195857,6.995812241019871e-24
(claude-3-5-haiku-20241022) - (gemini-2.5-flash),3,-22.770000000000056,1.235593197595341,Inf,-18.428395400941074,6.997974474750357e-74
(claude-3-5-haiku-20241022) - (gemini-2.5-pro),3,-25.62000000000006,1.235593197595341,Inf,-20.73497980553844,1.5244800136056646e-93
