effect,component,group,term,estimate,std.error,statistic,p.value
fixed,cond,NA,sourcegpt-4o:task2,-0.01179127012094784,0.059488975390548815,-0.1982093327971682,0.8428812858319487
fixed,cond,NA,sourcegpt-4o-mini:task2,-0.09944958521754839,0.06003600150344164,-1.6564991459640648,0.09762077786840762
fixed,cond,NA,sourceo1:task2,-0.015855796262725937,0.058290597043043256,-0.2720129329095328,0.7856120751389055
fixed,cond,NA,sourceo3:task2,0.054902771688494854,0.05267255265407002,1.0423411990125468,0.29725351774356745
fixed,cond,NA,sourceo4-mini:task2,-0.065441103310807755,0.05685661351322053,-1.1509848945820722,0.24973844994850425
fixed,cond,NA,sourceclaude-3-7-sonnet-20250219:task3,-0.05991693563994155,0.057837424373750924,-1.0359544237784972,0.30022340555705673
fixed,cond,NA,sourceclaude-sonnet-4-20250514:task3,-0.032328000582900245,0.05831666549662993,-0.5543526933097445,0.579337494856466
fixed,cond,NA,sourcedeepseek-chat:task3,0.2088967756630085,0.05746198048097817,3.6353911562822008,2.775591660672277e-4
fixed,cond,NA,sourcedeepseek-reasoner:task3,-0.07670699549375966,0.059821698538311055,-1.2822604066421637,0.19975131213354774
fixed,cond,NA,sourcegemini-1.5-pro:task3,-0.15446195949663866,0.05922400744291457,-2.6080970566796413,0.009104713487684057
fixed,cond,NA,sourcegemini-2.0-flash:task3,-0.10262161114944869,0.05835398438671915,-1.7586050417630859,0.0786446160448672
fixed,cond,NA,sourcegemini-2.5-flash:task3,-0.14121410633615336,0.05629184737123536,-2.5086067153715854,0.012120835019789411
fixed,cond,NA,sourcegemini-2.5-pro:task3,-0.18108104801459188,0.05604849112132579,-3.230792558226294,0.0012344749766346377
fixed,cond,NA,sourcegpt-3.5-turbo:task3,-0.08154968824711965,0.060514587601216835,-1.3476038006657396,0.17778584751740142
fixed,cond,NA,sourcegpt-4o:task3,-0.0691854770016778,0.05982794199507926,-1.1564074359664283,0.24751454146135596
fixed,cond,NA,sourcegpt-4o-mini:task3,-0.027490240411467342,0.059838158997106594,-0.4594098627398714,0.6459398670417902
fixed,cond,NA,sourceo1:task3,-0.18880019194222686,0.059044285694129416,-3.1976031164180663,0.0013857485703001634
fixed,cond,NA,sourceo3:task3,-0.07756136981796409,0.05288928375905538,-1.4664855393259981,0.14251605789247873
fixed,cond,NA,sourceo4-mini:task3,-0.10095680662073062,0.057060758239444384,-1.7692861037192145,0.07684614127561817
ran_pars,cond,prompt_id,sd__(Intercept),5.0628470636318554e-6,NA,NA,NA
